code,email,msg,subject,flag,count,attach1,attach2,attach3
BC Zone,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - BC Zone,Branch Daily Sales - BC Zone,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\BC Z.pdf,,
Victoria,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Victoria,Branch Daily Sales - Victoria,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\VICTR.pdf,,
Vancouver,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Vancouver,Branch Daily Sales - Vancouver,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\VACVR.pdf,,
Calgary,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Calgary,Branch Daily Sales - Calgary,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\CALGY.pdf,,
Edmonton,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Edmonton,Branch Daily Sales - Edmonton,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\EDMON.pdf,,
Prairie Zone,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Prairie Zone,Branch Daily Sales - Prairie Zone,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\PRAIR Z.pdf,,
Toronto,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Toronto,Branch Daily Sales - Toronto,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\TORNT.pdf,,
Ottawa,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Ottawa,Branch Daily Sales - Ottawa,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\OTTWA.pdf,,
London,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - London,Branch Daily Sales - London,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\LONDN.pdf,,
Montreal,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Montreal,Branch Daily Sales - Montreal,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\MNTRL.pdf,,
Quebec Branch,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Quebec Branch,Branch Daily Sales - Quebec Branch,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\QUEBC.pdf,,
Atlantic Zone,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Atlantic Zone,Branch Daily Sales - Atlantic Zone,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\ATLAN Z.pdf,,
St Johns,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - St Johns,Branch Daily Sales - St Johns,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\SJOHN.pdf,,
Halifax,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Halifax,Branch Daily Sales - Halifax,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\HALFX.pdf,,
NOTL DC,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - NOTL DC,Branch Daily Sales - NOTL DC,0,0,S:\Business Reporting\_BR_Sales\Working\Send_Files\NOTL DC.pdf,,
Calgary DC ,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Calgary DC ,Branch Daily Sales - Calgary DC ,0,0,S:\Business Reporting\_BR_Sales\Working\Send_Files\Calgary DC.pdf,,
Delta DC ,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Delta DC ,Branch Daily Sales - Delta DC ,0,0,S:\Business Reporting\_BR_Sales\Working\Send_Files\Delta DC.pdf,,
Acquisition,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Acquisition,Branch Daily Sales - Acquisition,1,1,S:\Business Reporting\_BR_Sales\Working\Send_Files\Acquisition.pdf,,
Camlog,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Camlog,Branch Daily Sales - Camlog,0,0,S:\Business Reporting\_BR_Sales\Working\Send_Files\Camlog.pdf,,
Sales total,"Jennifer.li@henryschein.ca,BusinessReporting.Canada@henryschein.ca",Branch Daily Sales - Sales total,Branch Daily Sales - Sales total,1,0,,,
